"","intercept","slope","seint","seslope","scrubbedn","simulation"
"1",0.0158802494917239,-2.11071732676949,0.015078303224432,0.0193079673197436,90,"Simulation 2"
"2",0.000585127818209267,-2.182128943743,0.0184029295424247,0.0233015669141028,90,"Simulation 2"
"3",-0.0107690881681468,-2.16379580680742,0.0210536499697333,0.0264073770675806,91,"Simulation 2"
"4",-0.00151896542892502,-2.14937963961598,0.0179301136783982,0.0227322909402704,90,"Simulation 2"
"5",0.0316174093638291,-2.12463294514704,0.0192360026683372,0.024297322459591,91,"Simulation 2"
"6",-0.052166080816523,-2.17875310970344,0.021450683813683,0.0271957724340635,89,"Simulation 2"
"7",-0.0100513783028375,-2.16207390701493,0.016086247996951,0.0207378535888784,89,"Simulation 2"
"8",-0.00837540383681319,-2.09093957904704,0.0187730930632983,0.0231579672152779,91,"Simulation 2"
"9",0.0102874470621544,-2.14673455210632,0.0198188944151371,0.0248529707530185,90,"Simulation 2"
"10",-0.0214210874123966,-2.11381453544367,0.0220022178326397,0.0273653872801455,92,"Simulation 2"
"11",0.00653016280939191,-2.10736458326665,0.0193918493126054,0.0241130295746573,91,"Simulation 2"
"12",0.00839527516645012,-2.05338299895962,0.0171115787951034,0.0207057642726886,93,"Simulation 2"
"13",0.024128914858518,-2.1250106144823,0.0190988556426629,0.0235644423795612,91,"Simulation 2"
"14",-0.00802357231369923,-2.10141757979566,0.0183245256619062,0.0229713372547042,90,"Simulation 2"
"15",0.014703138736765,-2.20895356717903,0.0174493705733659,0.022193453278093,89,"Simulation 2"
"16",0.018434545610276,-2.13526803203397,0.0196975664071409,0.0246937369605679,91,"Simulation 2"
"17",-0.00573003059318742,-2.0742425131998,0.0208951835107616,0.0253979407299758,93,"Simulation 2"
"18",-0.0241350813088987,-2.12892639364171,0.0195793862092187,0.024601705793142,91,"Simulation 2"
"19",-0.0277903834254232,-2.06838178260907,0.0195581460588717,0.0239836124486007,92,"Simulation 2"
"20",-0.00505161931717767,-2.056801849092,0.0174180023782593,0.0214434181743485,92,"Simulation 2"
"21",-0.0230091909897562,-2.04918064663102,0.0169491326972298,0.0206657009089436,92,"Simulation 2"
"22",-0.0238374022631195,-2.20813189155051,0.0210903328834325,0.0271255566282946,89,"Simulation 2"
"23",0.00109855503387028,-2.0740136452731,0.0199998401249425,0.0245374367968328,92,"Simulation 2"
"24",-0.0153902772642603,-2.15782917382026,0.0196665180060596,0.0245955851320371,90,"Simulation 2"
"25",-0.00156386033133167,-2.18571045823507,0.0188771195467238,0.0239442855000236,90,"Simulation 2"
"26",0.0173026936358929,-2.09652123278924,0.019451051390013,0.0239718348848003,91,"Simulation 2"
"27",-0.0146578314937741,-2.08522089715671,0.0169444153112522,0.0209277288011326,91,"Simulation 2"
"28",-0.0114153394231888,-2.11134330283847,0.017309741625179,0.0216474035684819,91,"Simulation 2"
"29",0.00302812765858774,-2.13005065007153,0.0165288764178681,0.0207467094256971,90,"Simulation 2"
"30",-0.00649691377798569,-2.12143885342046,0.0160591231023835,0.0203314769780161,90,"Simulation 2"
"31",0.0136495006375977,-2.15982405480386,0.0167052125433453,0.0212683881158084,90,"Simulation 2"
"32",0.0329082372335815,-2.09077340264205,0.0203311366549159,0.0250648082340333,92,"Simulation 2"
"33",-0.0135590216006512,-2.05216379608905,0.0182268608386551,0.0218961407656347,92,"Simulation 2"
"34",0.0375466154318405,-2.17385006999569,0.0194793585324466,0.0247680334783865,90,"Simulation 2"
"35",0.00711830552322587,-2.14111909214393,0.0215695326670787,0.0268120385319354,91,"Simulation 2"
"36",0.000759809377993244,-2.16122919688032,0.0165492699133627,0.0212940851432284,89,"Simulation 2"
"37",0.0452928282032986,-2.27342636133614,0.0200833041962591,0.0265394815535723,88,"Simulation 2"
"38",0.00597459967767145,-2.09150011607806,0.0182701481619065,0.0226088243235069,91,"Simulation 2"
"39",-0.0153111436415667,-2.19851515019098,0.0200158007189294,0.0256537633880208,89,"Simulation 2"
"40",-0.0188300901134433,-2.15067725177972,0.0186847427307695,0.0234434860501932,91,"Simulation 2"
"41",-0.0245016943546245,-2.1455907102011,0.017585323714188,0.0218950941657537,90,"Simulation 2"
"42",0.00513452845365993,-2.18128654520315,0.019295673229174,0.0243389441200235,90,"Simulation 2"
"43",-0.0492822364149753,-2.080204517951,0.0174667000305128,0.0217655021504753,91,"Simulation 2"
"44",0.00456739327092182,-2.11701906176977,0.0198828860988713,0.0249380565273831,91,"Simulation 2"
"45",0.0137933387951228,-2.15034947852648,0.018999504899375,0.0240287164308703,90,"Simulation 2"
"46",-0.0104109084050609,-2.11530774124964,0.0190379351807945,0.0238154557572113,91,"Simulation 2"
"47",0.0502300092731676,-2.16017887170835,0.021063970357027,0.026190175243973,90,"Simulation 2"
"48",-0.0419161619743796,-2.21009036966422,0.0185959245883237,0.0242013633549747,88,"Simulation 2"
"49",0.00129533477009676,-2.06502899305332,0.0207990186796676,0.0250937821719052,93,"Simulation 2"
"50",0.00524436774314382,-2.18624395907116,0.01888623700591,0.0245271127228534,89,"Simulation 2"
"51",-0.00419911447362551,-2.18061848868771,0.0236035144997633,0.0298994614561775,90,"Simulation 2"
"52",0.015446323594422,-2.21725815066086,0.0166070196773642,0.0217980657399061,88,"Simulation 2"
"53",-0.0217148428734399,-2.0822575136534,0.0210090901402151,0.0259140612655009,91,"Simulation 2"
"54",-0.00446920666491732,-2.0777158301305,0.0221323136863614,0.0266801258433122,93,"Simulation 2"
"55",0.0353885844443164,-2.20160185142229,0.0182825035784026,0.0235243295122888,89,"Simulation 2"
