"","intercept","slope","seint","seslope","scrubbedn","simulation","mean_p.vars","mean_p.n","mean_p.mean","mean_p.sd","mean_p.median","mean_p.trimmed","mean_p.mad","mean_p.min","mean_p.max","mean_p.range","mean_p.skew","mean_p.kurtosis","mean_p.se"
"X1905",0.0188189221975452,-2.6115978889218,0.0290765786182289,0.0556994115980942,100,"Simulation 3",1,100,0.510003,0.184489204444503,0.50365,0.51061,0.17583636,0.0824,0.912,0.8296,-0.0241275855801586,-0.485297108196182,0.0184489204444503
"X1906",0.0705769226009965,-2.76293832352126,0.0391456537659346,0.0731635880657193,100,"Simulation 3",1,100,0.523987,0.182983166226356,0.53015,0.5232125,0.19288626,0.1201,0.9713,0.8512,0.0760426416050132,-0.476166604329868,0.0182983166226356
"X1907",-0.0670443526981825,-2.38087347994355,0.0387119893560604,0.0622946015622818,100,"Simulation 3",1,100,0.503314,0.20644737388947,0.49455,0.49782875,0.19377582,0.0259,0.9657,0.9398,0.141830715402924,-0.492631075025264,0.020644737388947
"X1908",0.0359068987058555,-2.09541145381474,0.0511632348438434,0.072253576305747,100,"Simulation 3",1,100,0.527007,0.211929888947484,0.51955,0.52699,0.17583636,0.0283,0.9965,0.9682,-0.022387068690092,-0.213932316782496,0.0211929888947484
"X1909",-0.159932205954,-2.84562426344199,0.0410843859784778,0.0788591059235731,100,"Simulation 3",1,100,0.449123,0.175854490960308,0.4544,0.4454825,0.18258219,0.057,0.8764,0.8194,0.194843413289272,-0.280297173257908,0.0175854490960308
"X1910",0.0167535138990871,-2.32127758692945,0.0387368102295414,0.0598956313418479,100,"Simulation 3",1,100,0.531394,0.207538115189875,0.5441,0.52764,0.22639302,0.1291,0.9917,0.8626,0.106975439735374,-0.665512627876018,0.0207538115189875
"X1911",0.0543520882213218,-2.36706762343444,0.0402156171112783,0.0640364798827667,100,"Simulation 3",1,100,0.52079,0.204570282556022,0.5265,0.51904875,0.22320543,0.0301,0.9891,0.959,0.027919373535714,-0.585908776078454,0.0204570282556022
"X1912",0.0415519138630717,-2.35229338952224,0.0428968896180221,0.0710327845482825,100,"Simulation 3",1,100,0.516644,0.196513185781155,0.5043,0.518105,0.18947628,0.0411,0.9772,0.9361,-0.106253749400533,-0.124657434522017,0.0196513185781155
"X1913",-0.0221902986552084,-2.66301412766038,0.0343785870317405,0.0579537244639525,100,"Simulation 3",1,100,0.485082,0.203930377493512,0.4682,0.48376125,0.19436886,0.0466,0.9128,0.8662,0.0916635008338843,-0.656516423269093,0.0203930377493512
"X1914",0.0338338915214425,-2.2296540201848,0.0502144202893593,0.07697584283303,100,"Simulation 3",1,100,0.508325,0.20179908368664,0.4982,0.5027725,0.2068227,0.0251,0.9957,0.9706,0.162595420955703,-0.301482070391414,0.020179908368664
"X1915",0.0160722572217339,-2.33037439856574,0.0371932730825913,0.0557442715153456,100,"Simulation 3",1,100,0.518025,0.216044388618486,0.5259,0.52005875,0.22617063,0.0355,0.9747,0.9392,-0.0716646339001014,-0.53936742781659,0.0216044388618486
"X1916",0.0733058511151733,-2.43353202047657,0.0455113703767886,0.0694661762499481,100,"Simulation 3",1,100,0.535424,0.209765772270315,0.5599,0.53612875,0.24915093,0.0198,0.9935,0.9737,-0.112053239857746,-0.740752654113165,0.0209765772270315
"X1917",-0.0677624453283565,-2.34361791933029,0.0513387623061875,0.0815653363202686,100,"Simulation 3",1,100,0.472861,0.194975510451332,0.4619,0.46914375,0.21015855,0.001,0.9667,0.9657,0.15794826694987,-0.392033832009334,0.0194975510451332
"X1918",0.0415759572683037,-2.33680221673966,0.0444972124367111,0.068881326970042,100,"Simulation 3",1,100,0.52081,0.209523912716425,0.5109,0.5247325,0.22617063,0.0317,0.9812,0.9495,-0.110044770897229,-0.512023847282201,0.0209523912716425
