"","intercept","slope","seint","seslope","scrubbedn","simulation"
"2482",0.005682244,-1.865702,0.0222475,0.02061944,62,"Simulation 4"
"2483",-0.005097037,-1.932001,0.01699282,0.01933448,50,"Simulation 4"
"2484",-4.411251e-06,-1.6225,0.008768591,0.00757228,70,"Simulation 4"
"2485",0.005084988,-1.606216,0.009287909,0.007988856,70,"Simulation 4"
"2486",2.788719e-05,-1.709167,0.01358353,0.01221928,66,"Simulation 4"
"2487",-4.089417e-05,-1.61266,0.00887722,0.007557723,72,"Simulation 4"
"2488",-0.001321226,-1.797872,0.0126095,0.01156866,64,"Simulation 4"
"2489",-1.404933e-05,-1.598763,0.008562256,0.007227984,72,"Simulation 4"
"2490",1.484017e-05,-1.577322,0.009741977,0.008614848,66,"Simulation 4"
"2491",-1.95458e-05,-1.572278,0.01109735,0.009621532,68,"Simulation 4"
"2492",-5.770708e-06,-1.702452,0.01364992,0.01225209,66,"Simulation 4"
"2493",-0.002866197,-1.830112,0.01717876,0.01567475,64,"Simulation 4"
"2494",-0.004761851,-1.805116,0.01878096,0.0168654,66,"Simulation 4"
"2495",4.180589e-07,-1.615129,0.009164369,0.007851464,70,"Simulation 4"
"2496",0.0001429283,-1.620671,0.009067132,0.007927551,68,"Simulation 4"
"2497",-7.094076e-05,-1.482859,0.008231583,0.00664242,74,"Simulation 4"
"2498",0.006008808,-1.682343,0.0102312,0.00979745,60,"Simulation 4"
"2499",9.52456e-06,-1.607179,0.00772238,0.00664893,70,"Simulation 4"
"2500",-4.974763e-05,-1.605024,0.008383929,0.007186547,70,"Simulation 4"
"2501",-5.954178e-05,-1.478353,0.006707117,0.005312637,78,"Simulation 4"
"2502",1.292973e-05,-1.581747,0.009857248,0.008252377,72,"Simulation 4"
"2503",-0.002606378,-1.893368,0.007372598,0.008404393,50,"Simulation 4"
"2504",-8.12982e-05,-1.690973,0.01533431,0.01425724,62,"Simulation 4"
"2505",4.098039e-05,-1.709263,0.01275369,0.01147964,66,"Simulation 4"
"2506",1.637317e-06,-1.570924,0.01161306,0.01013048,68,"Simulation 4"
"2507",-2.567741e-05,-1.619195,0.01022072,0.008873684,68,"Simulation 4"
"2508",0.01224654,-1.69429,0.009094738,0.008642018,60,"Simulation 4"
"2509",-8.208581e-06,-1.57594,0.01154321,0.009842779,72,"Simulation 4"
"2510",2.946818e-06,-1.595286,0.009196633,0.007945534,70,"Simulation 4"
"2511",-1.449171e-06,-1.598866,0.009105559,0.008079131,66,"Simulation 4"
"2512",3.579649e-05,-1.634435,0.009962846,0.008634463,70,"Simulation 4"
"2513",-1.681107e-05,-1.586361,0.01003633,0.0084627,72,"Simulation 4"
"2514",-0.00736765,-1.608468,0.008631862,0.007406705,70,"Simulation 4"
"2515",4.092048e-05,-1.599107,0.009091186,0.007562287,74,"Simulation 4"
"2516",1.75286e-07,-1.59359,0.0103891,0.008796934,72,"Simulation 4"
"2517",-0.002175818,-1.951006,0.01033228,0.01186671,50,"Simulation 4"
"2518",-9.136516e-05,-1.68572,0.01423385,0.01320586,62,"Simulation 4"
"2519",-6.391047e-06,-1.600918,0.009147481,0.007687544,72,"Simulation 4"
"2520",0.001538425,-1.846081,0.0195346,0.01811984,62,"Simulation 4"
"2521",-0.004936378,-1.572791,0.01088744,0.009610013,66,"Simulation 4"
"2522",-4.736357e-05,-1.59916,0.008940764,0.007749407,70,"Simulation 4"
"2523",-6.335604e-07,-1.573976,0.00973666,0.008521432,68,"Simulation 4"
"2524",-4.617834e-06,-1.626121,0.008959135,0.007594539,72,"Simulation 4"
"2525",2.281235e-05,-1.605887,0.009340774,0.008035234,70,"Simulation 4"
"2526",2.595939e-05,-1.620155,0.01077417,0.009210287,70,"Simulation 4"
"2527",-5.230597e-06,-1.609484,0.008776423,0.007570947,70,"Simulation 4"
"2528",0.0001305087,-1.477351,0.006793332,0.005355366,80,"Simulation 4"
"2529",-1.590931e-05,-1.573931,0.01037244,0.009183594,66,"Simulation 4"
"2530",0.001974404,-1.911075,0.009981677,0.01140456,50,"Simulation 4"
"2531",4.271667e-05,-1.638912,0.009009385,0.007952052,68,"Simulation 4"
"2532",-0.006050118,-1.604401,0.005707809,0.004840751,70,"Simulation 4"
"2533",0.001652957,-1.919975,0.01087017,0.01190779,52,"Simulation 4"
"2534",-5.409975e-06,-1.617054,0.008546474,0.007280101,72,"Simulation 4"
"2535",-6.001902e-05,-1.706776,0.009281902,0.008412304,64,"Simulation 4"
"2536",1.500754e-05,-1.591474,0.01011187,0.008548394,72,"Simulation 4"
"2537",6.060086e-06,-1.584075,0.009658561,0.008374298,68,"Simulation 4"
"2538",6.453315e-05,-1.693034,0.01325886,0.01193956,66,"Simulation 4"
"2539",-1.443317e-05,-1.615711,0.00969904,0.008088862,74,"Simulation 4"
"2540",-0.004826467,-1.781829,0.01307129,0.01160112,66,"Simulation 4"
"2541",-6.232533e-06,-1.586996,0.01069892,0.009177551,70,"Simulation 4"
"2542",2.744346e-05,-1.622835,0.008600656,0.007535399,68,"Simulation 4"
"2543",-9.354572e-05,-1.588368,0.01024084,0.008785141,70,"Simulation 4"
"2544",6.248812e-06,-1.501084,0.005751907,0.004652998,76,"Simulation 4"
"2545",-1.188535e-06,-1.576903,0.01032933,0.009017256,68,"Simulation 4"
"2546",0.001638763,-1.846641,0.0210748,0.01965657,62,"Simulation 4"
"2547",1.077799e-05,-1.707923,0.0133015,0.01199047,66,"Simulation 4"
"2548",0.003055948,-1.935118,0.008215734,0.009355184,50,"Simulation 4"
"2549",-0.001742654,-1.829946,0.01527695,0.01430624,62,"Simulation 4"
"2550",0.001171305,-1.626466,0.008595558,0.00741625,70,"Simulation 4"
"2551",-5.047376e-05,-1.595204,0.0110348,0.009028245,76,"Simulation 4"
"2552",-0.002347404,-2.02242,0.02037493,0.02349952,50,"Simulation 4"
"2553",-6.818477e-05,-1.603395,0.009588712,0.008217566,70,"Simulation 4"
"2554",0.001912022,-1.739932,0.005551345,0.005173805,62,"Simulation 4"
"2555",-2.635956e-06,-1.579002,0.009858677,0.008494246,70,"Simulation 4"
"2556",1.135886e-05,-1.617185,0.009443524,0.007972413,72,"Simulation 4"
"2557",6.411899e-05,-1.594091,0.009711724,0.008238961,72,"Simulation 4"
"2558",-0.0001302549,-1.722158,0.007448545,0.006562602,68,"Simulation 4"
"2559",-6.707983e-06,-1.702865,0.01441301,0.01292659,66,"Simulation 4"
"2560",0.009383006,-1.604342,0.009984157,0.008615215,70,"Simulation 4"
"2561",1.307243e-05,-1.575651,0.00975956,0.008535895,68,"Simulation 4"
"2562",0.003787044,-1.707714,0.008313723,0.007545116,64,"Simulation 4"
"2563",4.093736e-07,-1.592211,0.00982546,0.008482126,68,"Simulation 4"
"2564",4.47567e-06,-1.571014,0.0111878,0.009692714,68,"Simulation 4"
"2565",-3.663043e-07,-1.605009,0.01052119,0.008832058,72,"Simulation 4"
"2566",-1.410223e-06,-1.601936,0.008569897,0.007346097,70,"Simulation 4"
"2567",1.084465e-05,-1.621074,0.009892752,0.008409705,72,"Simulation 4"
"2568",2.657545e-05,-1.596767,0.01088625,0.009199678,72,"Simulation 4"
"2569",-1.684814e-05,-1.609493,0.007441939,0.006338539,72,"Simulation 4"
"2570",0.001797207,-1.610784,0.008340703,0.007205937,70,"Simulation 4"
"2571",-5.946345e-06,-1.607342,0.007993094,0.00689713,70,"Simulation 4"
"2572",-3.661862e-05,-1.706584,0.01374368,0.01210561,68,"Simulation 4"
"2573",0.003055221,-1.867206,0.02074175,0.01913254,62,"Simulation 4"
"2574",-1.498633e-05,-1.833869,0.01749006,0.01575047,66,"Simulation 4"
"2575",-4.632996e-05,-1.638459,0.009019369,0.007722172,72,"Simulation 4"
"2576",5.144343e-06,-1.638122,0.009833338,0.008431258,72,"Simulation 4"
"2577",-4.01918e-05,-1.616244,0.009384032,0.008012018,70,"Simulation 4"
"2578",-2.136779e-06,-1.58305,0.01038071,0.00895113,70,"Simulation 4"
"2579",-4.696877e-06,-1.583645,0.01012301,0.008960225,66,"Simulation 4"
"2580",0.006466792,-1.590572,0.008676889,0.007444025,70,"Simulation 4"
"2581",-0.002217849,-1.886218,0.02165858,0.02053882,60,"Simulation 4"
"2582",5.348997e-06,-1.842642,0.01546731,0.01461371,62,"Simulation 4"
"2583",-6.532691e-05,-1.60979,0.007668107,0.006443059,74,"Simulation 4"
"2584",1.792271e-05,-1.607638,0.01017959,0.009093597,66,"Simulation 4"
"2585",-3.987187e-06,-1.59629,0.00946611,0.008115514,70,"Simulation 4"
"2586",0.001644649,-1.795551,0.01223135,0.01139204,62,"Simulation 4"
"2587",-1.880307e-05,-1.586804,0.01264836,0.01077571,72,"Simulation 4"
"2588",-0.009369142,-1.590575,0.009810886,0.008246175,72,"Simulation 4"
"2589",-3.091755e-05,-1.604651,0.0107511,0.009162027,72,"Simulation 4"
"2590",0.001398285,-1.610599,0.008057059,0.006960713,70,"Simulation 4"
"2591",-0.01000877,-1.628864,0.004949924,0.004303063,68,"Simulation 4"
"2592",-0.001167889,-1.601549,0.009564659,0.008230435,70,"Simulation 4"
"2593",0.005960141,-1.964113,0.02102406,0.02360664,50,"Simulation 4"
"2594",3.746047e-06,-1.576591,0.01067006,0.009291998,68,"Simulation 4"
"2595",-3.982683e-05,-1.58092,0.01058457,0.009153124,68,"Simulation 4"
"2596",-6.213452e-07,-1.502572,0.006296792,0.005167833,74,"Simulation 4"
"2597",-4.295954e-06,-1.603485,0.008551065,0.007345444,70,"Simulation 4"
"2598",-1.141456e-05,-1.494398,0.005946366,0.004753625,76,"Simulation 4"
"2599",3.830018e-06,-1.574813,0.01140418,0.009986321,68,"Simulation 4"
"2600",0.001221304,-1.828741,0.0156979,0.01410932,66,"Simulation 4"
"2601",-3.020863e-06,-1.610425,0.008476996,0.007062956,74,"Simulation 4"
"2602",-0.007355759,-1.615778,0.004449418,0.003881095,68,"Simulation 4"
"2603",-0.0008975414,-1.603191,0.009990122,0.008521814,71,"Simulation 4"
"2604",-1.175587e-05,-1.641204,0.00846,0.00731021,70,"Simulation 4"
"2605",-0.0001010443,-1.566721,0.01168503,0.009975312,70,"Simulation 4"
"2606",-1.908097e-05,-1.61716,0.01054095,0.009183429,68,"Simulation 4"
"2607",-0.005059639,-1.579657,0.01209856,0.01034521,70,"Simulation 4"
"2608",1.838296e-05,-1.587011,0.01188539,0.0103989,68,"Simulation 4"
"2609",0.0001171798,-1.576704,0.01051884,0.00908847,68,"Simulation 4"
"2610",-1.411655e-06,-1.598675,0.009029408,0.007714767,70,"Simulation 4"
