"","intercept","slope","seint","seslope","scrubbedn","simulation","mean_p.vars","mean_p.n","mean_p.mean","mean_p.sd","mean_p.median","mean_p.trimmed","mean_p.mad","mean_p.min","mean_p.max","mean_p.range","mean_p.skew","mean_p.kurtosis","mean_p.se"
"X1245",0.0224194754542852,-1.5249713396339,0.0232729685479628,0.0305506487902057,100,"Simulation 2",1,100,0.465029,0.260203633269535,0.41625,0.45685,0.33818106,0.0899,0.9228,0.8329,0.231950995098109,-1.40784402168548,0.0260203633269535
"X1246",-0.00533579090119038,-1.4504431341872,0.0246964212095971,0.032354771454212,100,"Simulation 2",1,100,0.535105,0.25321668222407,0.5732,0.54184,0.311346,0.0738,0.9333,0.8595,-0.186590142456393,-1.17106284192594,0.025321668222407
"X1247",-0.0359967251356706,-1.45762689171996,0.0283201307949589,0.0360903414388384,100,"Simulation 2",1,100,0.542651,0.258703706538518,0.56105,0.54890875,0.32105703,0.0551,0.9307,0.8756,-0.223206668216019,-1.20957161893993,0.0258703706538518
"X1248",-0.0293633064127296,-1.53297877939187,0.0256158748207641,0.0355026023039196,100,"Simulation 2",1,100,0.512101,0.248590734403584,0.5411,0.51622125,0.35715834,0.0875,0.9311,0.8436,-0.115033615123562,-1.30732197899761,0.0248590734403584
"X1249",-0.0347786537137697,-1.5418622464657,0.0200594217883279,0.0273481528557613,100,"Simulation 2",1,100,0.525089,0.248574149210161,0.5599,0.53204875,0.29859564,0.0882,0.9248,0.8366,-0.208085684167191,-1.18258551403352,0.0248574149210161
"X1250",0.0171994717719333,-1.52342247158637,0.0244805720551927,0.0347578022010099,100,"Simulation 2",1,100,0.561424,0.231791319906157,0.55995,0.5727025,0.23210103,0.1016,0.9159,0.8143,-0.31261994227101,-0.87773645002801,0.0231791319906157
"X1251",0.00407180817208324,-1.5073435285497,0.0212075704821532,0.0268704737294156,100,"Simulation 2",1,100,0.436873,0.259527263259079,0.38875,0.4246175,0.33217653,0.0738,0.9213,0.8475,0.349813581626846,-1.22022668247038,0.0259527263259079
"X1252",-0.0301181290917079,-1.52750726783708,0.0288881899640443,0.0388730413740488,100,"Simulation 2",1,100,0.486729,0.252235943855604,0.46195,0.4835425,0.32698743,0.0871,0.9359,0.8488,0.0736191785315029,-1.26436101131361,0.0252235943855604
"X1253",-0.00204525287933507,-1.4792446693485,0.0216244865283294,0.0280699261082024,100,"Simulation 2",1,100,0.503453,0.262349093691223,0.4708,0.50643625,0.40445328,0.0595,0.9119,0.8524,-0.0392975488990535,-1.38311841781363,0.0262349093691223
"X1254",0.00193934899492529,-1.52791883018325,0.0224744590255894,0.0299686290931394,100,"Simulation 2",1,100,0.50491,0.255958310012874,0.50555,0.5046325,0.33150936,0.0821,0.9219,0.8398,-0.0339713988693096,-1.33457100807352,0.0255958310012874
"X1255",0.0125478003305513,-1.51305955077896,0.0208789508155246,0.0277110989175177,100,"Simulation 2",1,100,0.482851,0.254871791693412,0.4503,0.477825,0.32365158,0.0806,0.9364,0.8558,0.170952564453402,-1.26923041229191,0.0254871791693412
"X1256",0.0262319118469797,-1.52254657738196,0.0186772012991705,0.026220808503341,100,"Simulation 2",1,100,0.512655,0.245495016047252,0.50395,0.50901125,0.31312512,0.1173,0.9286,0.8113,0.153730110400943,-1.33411989065604,0.0245495016047252
"X1257",-0.0182110421174917,-1.54119954468557,0.0225309831251315,0.0307478184155672,100,"Simulation 2",1,100,0.482666,0.252388402469309,0.4892,0.47840875,0.35263641,0.069,0.9304,0.8614,0.0723844761857213,-1.38427944096309,0.0252388402469309
"X1258",-0.0189158303004319,-1.51951482090576,0.0201607498985109,0.0259878016832881,100,"Simulation 2",1,100,0.476605,0.266022704801107,0.45055,0.473625,0.38925663,0.07,0.8977,0.8277,0.0384540819491933,-1.51640820508871,0.0266022704801107
"X1259",0.00063503142912148,-1.51846280282894,0.0203510978729571,0.0271706391063294,100,"Simulation 2",1,100,0.47664,0.25309983058553,0.42355,0.4704325,0.31631271,0.0668,0.9383,0.8715,0.183336858882943,-1.26422052066651,0.025309983058553
"X1260",0.0073613036179122,-1.45459940757299,0.0224729591314767,0.0278525644077153,100,"Simulation 2",1,100,0.515025,0.268549483947154,0.5208,0.518085,0.34270299,0.0586,0.9196,0.861,-0.0491901501816991,-1.35704774233507,0.0268549483947154
"X1261",-0.000670452235250307,-1.53145657717422,0.0331294317414188,0.0407535560659503,100,"Simulation 2",1,100,0.548469,0.268537281686464,0.5929,0.55972375,0.31038231,0.0706,0.9498,0.8792,-0.335701262516772,-1.30723048111917,0.0268537281686464
"X1262",0.0221017550406509,-1.50280141433881,0.0233799556118411,0.0305218597720209,100,"Simulation 2",1,100,0.452068,0.254164198052592,0.41535,0.440695,0.28591941,0.0546,0.9219,0.8673,0.328959757241054,-1.12957018110717,0.0254164198052592
"X1263",0.00679704629743814,-1.50029515917944,0.0181910411375201,0.0242780506200949,100,"Simulation 2",1,100,0.515606,0.253537091431043,0.54595,0.52209625,0.31571967,0.0683,0.9237,0.8554,-0.201384920215309,-1.23819911100348,0.0253537091431043
"X1264",0.00863834706535085,-1.52336775493235,0.0254900094673051,0.037325325615008,100,"Simulation 2",1,100,0.46515,0.233091778213448,0.4651,0.460365,0.2920722,0.0653,0.8992,0.8339,0.156672076072293,-1.12366320963253,0.0233091778213448
"X1265",-0.0173086083001785,-1.5220868356056,0.0192356934594666,0.02893319598218,100,"Simulation 2",1,100,0.490946,0.22735763951639,0.4883,0.49332125,0.25315395,0.0738,0.9221,0.8483,-0.105223913582998,-0.983480500380439,0.022735763951639
"X1266",-0.0186299832708833,-1.52141813587469,0.0227312363566208,0.0318526477930121,100,"Simulation 2",1,100,0.466437,0.242758410752149,0.4724,0.46135875,0.29570457,0.0631,0.9222,0.8591,0.137142301263338,-1.20890471357521,0.0242758410752149
"X1267",0.0283468369479877,-1.55827185113397,0.019661490408264,0.0262447529802319,100,"Simulation 2",1,100,0.511821,0.254477492920357,0.5272,0.51257875,0.33751389,0.0719,0.9284,0.8565,0.00416072211422969,-1.30583674127251,0.0254477492920357
"X1268",-0.0353652795586349,-1.50945957283032,0.0254421843904361,0.0344499130976433,100,"Simulation 2",1,100,0.491333,0.251208056172286,0.49345,0.49206375,0.34092387,0.0675,0.9243,0.8568,-0.0320660690270437,-1.28244989528149,0.0251208056172286
"X1269",-0.0278526734747617,-1.51576026791166,0.0264553610744864,0.0378192331145737,100,"Simulation 2",1,100,0.519279,0.237888128063881,0.4904,0.5205375,0.3061569,0.0544,0.9275,0.8731,0.00909400497454748,-1.15131859524874,0.0237888128063881
"X1270",-0.0383736856605638,-1.52221014129918,0.025645019217934,0.0345158189767251,100,"Simulation 2",1,100,0.541359,0.249875880338114,0.5776,0.550935,0.326172,0.0665,0.9326,0.8661,-0.242576921323448,-1.24451429365729,0.0249875880338114
"X1271",0.0329976973917465,-1.46879120808708,0.0192144252575429,0.0256656588272979,100,"Simulation 2",1,100,0.486778,0.25106994098993,0.4742,0.47903875,0.32772873,0.0862,0.9347,0.8485,0.208614388221086,-1.13424976623084,0.025106994098993
"X1272",-0.0465819173377117,-1.51964633941119,0.0392103805120232,0.0490198034473033,100,"Simulation 2",1,100,0.526865,0.266477583105934,0.53205,0.53116125,0.36190266,0.0588,0.9343,0.8755,-0.102278929034759,-1.33056828405597,0.0266477583105934
"X1273",-0.043792467321198,-1.4735917725387,0.0214764341184908,0.0300578813899459,100,"Simulation 2",1,100,0.478476,0.239045760007949,0.46875,0.47437875,0.25693458,0.0625,0.9342,0.8717,0.102843262316657,-1.02458735291619,0.0239045760007949
"X1274",-0.0351590938736563,-1.52185327253223,0.0221674773560981,0.0293114686448471,100,"Simulation 2",1,100,0.531123,0.256307864067469,0.5293,0.53598,0.34589058,0.0956,0.9275,0.8319,-0.107867443545097,-1.34793831553117,0.0256307864067469
"X1275",0.00512354753950268,-1.48257599459821,0.0176731163859916,0.0239579328257167,100,"Simulation 2",1,100,0.47799,0.251252755952522,0.46825,0.475275,0.34796622,0.0943,0.9113,0.817,0.0748976015129837,-1.28207373716993,0.0251252755952522
"X1276",-0.034095123909441,-1.54028271119071,0.0244731154934497,0.0347047627702258,100,"Simulation 2",1,100,0.561717,0.236037722997359,0.58885,0.571515,0.2720571,0.0898,0.9158,0.826,-0.296190598898511,-1.16381190696054,0.0236037722997359
"X1277",0.017679208431671,-1.48909755540301,0.027695098617851,0.0382125973796379,100,"Simulation 2",1,100,0.511374,0.247553220324296,0.5422,0.5137775,0.27546708,0.0862,0.9294,0.8432,-0.126261609780898,-1.22963864430579,0.0247553220324296
"X1278",0.0690888212925753,-1.55458813895365,0.0259110126395548,0.0372191188013359,100,"Simulation 2",1,100,0.480847,0.242296436462079,0.4486,0.47532,0.32454114,0.0985,0.8985,0.8,0.157301027947784,-1.30836324120041,0.0242296436462079
"X1279",0.0179174389366353,-1.58504617900572,0.0239110733258289,0.032696306216343,100,"Simulation 2",1,100,0.501349,0.25146122800724,0.4678,0.49783875,0.33165762,0.0939,0.9135,0.8196,0.140445215059311,-1.33488538770918,0.025146122800724
"X1280",0.0137867061265177,-1.52485729152373,0.0186990505864674,0.0252641000104009,100,"Simulation 2",1,100,0.476179,0.252953319163354,0.42365,0.46892125,0.32683917,0.0948,0.9344,0.8396,0.233433309886759,-1.29860187483951,0.0252953319163354
"X1281",-0.0293378686919497,-1.52444736649569,0.0203472849195625,0.0255596513795561,100,"Simulation 2",1,100,0.479515,0.269296960630919,0.4356,0.4733375,0.38236254,0.0806,0.9359,0.8553,0.134810431278067,-1.42872936039405,0.0269296960630919
"X1282",0.0475101790031307,-1.5043798938731,0.0175499683669863,0.0230024241123167,100,"Simulation 2",1,100,0.481262,0.259087673932664,0.44405,0.47435875,0.32817351,0.0811,0.9254,0.8443,0.247798921746394,-1.2951550637362,0.0259087673932664
"X1283",0.0373458408948801,-1.53308817165848,0.0295107786450877,0.0400530073809101,100,"Simulation 2",1,100,0.550161,0.242491099449281,0.58575,0.558595,0.28554876,0.0622,0.9444,0.8822,-0.234082058318144,-1.06499274224842,0.0242491099449281
"X1284",-0.0329758318572045,-1.48985333089042,0.0213304193601735,0.0280735183317811,100,"Simulation 2",1,100,0.560903,0.253275471244934,0.6145,0.57203625,0.29362893,0.0695,0.9256,0.8561,-0.356432809633097,-1.24932495853589,0.0253275471244934
"X1285",0.0393146173433425,-1.49692086075671,0.0262148208783124,0.0363799877699558,100,"Simulation 2",1,100,0.487358,0.248831788210917,0.46925,0.4858025,0.34707666,0.0746,0.9085,0.8339,0.0589782539070928,-1.34959601905794,0.0248831788210917
"X1286",-0.0463534277521457,-1.53342203097054,0.0255081152408142,0.0368955982085197,100,"Simulation 2",1,100,0.482915,0.235273817856316,0.51515,0.4831225,0.29170155,0.0607,0.9211,0.8604,-0.0659309490522507,-1.10354785333838,0.0235273817856316
