"","x"
"1",0.14783106419074
"2",1.49840462700325
"3",0.76117392328644
"4",0.565283941575072
"5",1.18411549944469
"6",0.844216094230004
"7",1.60206374855068
"8",1.65785404802658
"9",0.293632105625713
"10",2.17005363991502
"11",0.401185770846302
"12",0.90357907651509
"13",0.470058489184728
"14",0.697986573742669
"15",0.672822619398242
"16",0.511946351413803
"17",0.370385568450748
"18",0.874604338872089
"19",1.00599944556655
"20",0.178328574239742
"21",1.2623617645521
"22",1.23297185401767
"23",0.585285881329438
"24",1.61686217399235
"25",1.71222185071952
"26",0.450314928574985
"27",0.318550483788707
"28",0.431348990907295
"29",0.356121206640957
"30",1.02239782858467
"31",1.037350744294
"32",1.17379749526136
"33",0.704377481417897
"34",1.64066907897128
"35",0.688285992906166
"36",0.110380378647446
"37",0.440915377228388
"38",0.545088559998848
"39",2.75570258505437
"40",1.07461699109132
"41",0.608062344489865
"42",0.219616585710208
"43",0.664329879443292
"44",0.677228732281793
"45",0.407239154765014
"46",1.37884133739646
"47",0.721250378657801
"48",0.176903250503161
"49",2.87468710215513
"50",0.485765974745112
"51",0.208054704102813
"52",0.453544666406163
"53",0.336667867859715
"54",0.710459392975097
"55",0.364601582688112
"56",2.13736252441367
"57",0.321505845542663
"58",0.706512265421616
"59",0.375964891428853
"60",0.182995544746056
"61",1.29447917464813
"62",1.13847305587153
"63",1.12805996189739
"64",0.542083377563549
"65",0.402439832067914
"66",0.0616504009438645
"67",0.442420511692253
"68",0.609434715804476
"69",0.792732616052837
"70",0.21790548359698
"71",0.591183773791662
"72",0.627759179441563
"73",0.443669532043427
"74",0.895317971345338
"75",0.980338575283767
"76",0.322958635438658
"77",1.38680484276908
"78",0.693518670729355
"79",0.721552858602034
"80",0.08358985177383
"81",1.42931918863621
"82",0.977741389424298
"83",0.921004633964018
"84",0.464502709023241
"85",0.697958995619079
"86",0.0569879235595995
"87",0.493061160933758
"88",1.06580840071949
"89",0.107743712007252
"90",0.605873475811271
"91",0.717677715901512
"92",1.38618581372762
"93",0.399091383421131
"94",0.389752138925177
"95",0.759414154717834
"96",0.0492738607845503
"97",0.371357982532764
"98",0.818555717803985
"99",0.89402839714652
"100",0.126010619939696
