"","x"
"1",0.114378668059597
"2",0.266394165924139
"3",0.146654690881304
"4",0.130898557147257
"5",0.18347345988855
"6",0.137831085544987
"7",0.264527798900219
"8",0.344850027652851
"9",0.0808701007224083
"10",0.435974641555112
"11",0.117705370560285
"12",0.181587363723799
"13",0.123349832233493
"14",0.13816411469123
"15",0.375963479447537
"16",0.156939168072094
"17",0.113460359297172
"18",0.159637584107722
"19",0.179161970684454
"20",0.142442589339243
"21",0.252465682717982
"22",0.232205157112318
"23",0.542253192578208
"24",0.297623686500077
"25",0.352480913195556
"26",0.309561745022797
"27",0.0964114317914318
"28",0.100372357642729
"29",0.175964890787591
"30",0.171741127723344
"31",0.201945073715777
"32",0.202720383880787
"33",0.123980582287055
"34",0.276489757276958
"35",0.686463628480465
"36",0.0711918118348487
"37",0.084918297096089
"38",0.483534519613627
"39",0.630341769436845
"40",0.218672792437579
"41",0.270048214768632
"42",0.219564939822413
"43",0.13012174986953
"44",0.361433773018604
"45",0.138566554585548
"46",0.219973537528048
"47",0.156041815196633
"48",0.0836837209670791
"49",0.766949676819286
"50",0.374641377458771
"51",0.0838844823188078
"52",0.0847085168177692
"53",0.077250226279183
"54",0.636042951706356
"55",0.28671883710903
"56",0.479437796664425
"57",0.0883126809140861
"58",0.118110974909762
"59",0.140482574793622
"60",0.052758126010429
"61",0.257727262454038
"62",0.204361240268707
"63",0.254895398627455
"64",0.231402850038741
"65",0.14961679330376
"66",0.0593081756177226
"67",0.295719011016902
"68",0.201169921490019
"69",0.135984063258488
"70",0.101009000178399
"71",0.103094908010303
"72",0.312015326657531
"73",0.0993731917980751
"74",0.195172373233739
"75",0.231626251906185
"76",0.295174811244434
"77",0.215741043889175
"78",0.113033168837434
"79",0.129527983221371
"80",0.0805116989183345
"81",0.235177821291402
"82",0.203197696005535
"83",0.150325359681648
"84",0.138704526622076
"85",0.134099544375105
"86",0.0570325230269772
"87",0.0890853024653016
"88",0.193033720824668
"89",0.0620988151550301
"90",0.224362834460702
"91",0.117343702951154
"92",0.251189703782538
"93",0.172752680025859
"94",0.0969097935156068
"95",0.12327478085014
"96",0.0494232983706739
"97",0.183812509800653
"98",0.145370853102407
"99",0.138133787531114
"100",0.0844660660106383
